**********************Check Process Result(CheckBrokenLinkByFile)**********************
1 : articles\logic-apps\TOC.yml
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-diagnosing-failures.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-gateway-install.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-gateway-connection.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\connectors\connectors-create-api-azure-event-hubs.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-azure-functions.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-http-endpoint.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\connectors\connectors-create-api-servicebus.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\connectors\connectors-create-api-sqlazure.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-create-api-app.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-using-file-connector.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\connectors\connectors-create-api-ftp.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\connectors\connectors-native-http.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\connectors\connectors-native-http-swagger.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\connectors\connectors-native-webhook.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\connectors\connectors-create-api-mq.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\connectors\connectors-create-api-office365-outlook.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\connectors\connectors-create-api-onedrive.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\connectors\connectors-create-api-onedriveforbusiness.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\connectors\connectors-create-api-oracledatabase.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\connectors\connectors-create-api-outlook.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\connectors\connectors-native-reqres.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\connectors\connectors-create-api-rss.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\connectors\connectors-create-api-salesforce.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-using-sap-connector.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\connectors\connectors-create-api-sftp.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\connectors\connectors-sftp-ssh.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\connectors\connectors-create-api-sharepoint.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\connectors\connectors-create-api-smtp.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\connectors\connectors-create-api-sqlazure.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\manage-logic-apps-with-visual-studio.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\connectors\connectors-schema-migration.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-azure-resource-manager-templates-overview.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-create-azure-resource-manager-templates.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-deploy-azure-resource-manager-templates.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-examples-and-scenarios.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-data-operations-code-samples.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-scenario-social-serverless.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-serverless-get-started-vs.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-scenario-error-and-exception-handling.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-limits-and-config.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-pricing.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-workflow-definition-language.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-workflow-actions-triggers.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\workflow-definition-language-functions-reference.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-schema-2016-04-01.md : correct.
Error : https://docs.azure.cn/zh-cn//connectors/connectors-create-api-mailchimp -> The remote server returned an error: (404) Not Found.
Error : https://docs.azure.cn/zh-cn//connectors/connectors-create-api-microsofttranslator -> The remote server returned an error: (404) Not Found.
Error : https://docs.azure.cn/zh-cn//connectors/connectors-create-api-office365-users -> The remote server returned an error: (404) Not Found.
Error : https://docs.azure.cn/zh-cn//connectors/connectors-create-api-office365-video -> The remote server returned an error: (404) Not Found.
https://docs.azure.cn/zh-cn/logic-apps/logic-apps-monitor-your-logic-apps : OK
https://docs.azure.cn/zh-cn/connectors/ : OK
https://docs.microsoft.com/en-us/powershell/module/azurerm.logicapp : OK
https://docs.microsoft.com/en-us/rest/api/logic/ : OK
https://social.msdn.microsoft.com/Forums/azure/en-US/home?forum=azurelogicapps : OK
https://www.azure.cn/pricing/details/logic-apps/ : OK
https://www.azure.cn/pricing/calculator/ : OK

--------------Abort List in this round of Check Broken Link--------------
Total 0 abourt thread in the round of Check Broken List.

